Escenario,Longitud,Macro-F1
prep_3_len_768,768,0.648630
prep_3_len_1024,1024,0.807687
prep_3_len_1280,1280,0.630686
prep_3_len_1536,1536,0.626790
prep_3_aug_len_768,768,0.659851
prep_3_aug_len_1024,1024,0.807428
prep_3_aug_len_1280,1280,0.680753
prep_3_aug_len_1536,1536,0.818451
